Route,Latitude Debut,Longitude Debut,Latitude Fin,Longitude Fin,route_id
"33.57,-7.598 → 33.562,-7.606",33.57013445164309,-7.598058645606782,33.562284333432395,-7.606299844625026,223
"33.564,-7.6 → 33.57,-7.598",33.56363154284882,-7.599870730141732,33.57013445164309,-7.598058645606782,224
"33.564,-7.6 → 33.565,-7.591",33.56363154284882,-7.599870730141732,33.564723920173485,-7.590697357199,225
"33.564,-7.6 → 33.567,-7.584",33.56363154284882,-7.599870730141732,33.56704661642497,-7.584284043045241,226
"33.564,-7.6 → 33.562,-7.606",33.56363154284882,-7.599870730141732,33.562284333432395,-7.606299844625026,227
"33.565,-7.591 → 33.57,-7.598",33.564723920173485,-7.590697357199,33.57013445164309,-7.598058645606782,228
"33.565,-7.591 → 33.564,-7.6",33.564723920173485,-7.590697357199,33.56363154284882,-7.599870730141732,229
"33.565,-7.591 → 33.567,-7.584",33.564723920173485,-7.590697357199,33.56704661642497,-7.584284043045241,230
"33.565,-7.591 → 33.562,-7.606",33.564723920173485,-7.590697357199,33.562284333432395,-7.606299844625026,231
"33.567,-7.584 → 33.57,-7.598",33.56704661642497,-7.584284043045241,33.57013445164309,-7.598058645606782,232
"33.567,-7.584 → 33.564,-7.6",33.56704661642497,-7.584284043045241,33.56363154284882,-7.599870730141732,233
"33.567,-7.584 → 33.565,-7.591",33.56704661642497,-7.584284043045241,33.564723920173485,-7.590697357199,234
"33.567,-7.584 → 33.562,-7.606",33.56704661642497,-7.584284043045241,33.562284333432395,-7.606299844625026,235
"33.562,-7.606 → 33.57,-7.598",33.562284333432395,-7.606299844625026,33.57013445164309,-7.598058645606782,236
"33.562,-7.606 → 33.564,-7.6",33.562284333432395,-7.606299844625026,33.56363154284882,-7.599870730141732,237
"33.562,-7.606 → 33.565,-7.591",33.562284333432395,-7.606299844625026,33.564723920173485,-7.590697357199,238
"33.562,-7.606 → 33.567,-7.584",33.562284333432395,-7.606299844625026,33.56704661642497,-7.584284043045241,239
